CVE, Rietveld Ids, Google Code Issue Ids, Open to public?
CVE-2010-0315,553088 554076,32309,true
CVE-2010-0556,556014 554069,32718,true
CVE-2010-0643,502068 552164 556034,12303,true
CVE-2010-0644,507033 507048 552164 556034,29914,true
CVE-2010-0645,"",31009,true
CVE-2010-0646,"",31009,true
CVE-2010-0646,"","",true
CVE-2010-0649,553061 553082 555093,32915,true
CVE-2010-0650,"",3275,true
CVE-2010-0650,"","",true
CVE-2010-0655,"",12523,true
CVE-2010-0655,"","",true
CVE-2010-0655,"","",true
CVE-2010-0655,"","",true
CVE-2010-0655,"","",true
CVE-2010-0660,486015 502038 500129 501109,29920,true
CVE-2010-0660,"","",true
CVE-2010-0662,517023 518030,31307,true
CVE-2010-0663,517023 518030,31307,true
CVE-2010-0664,525038 523084,31517,true
CVE-2010-1029,"","",true
CVE-2010-1228,548046 551150 556021 558036 553080 597032 594035,31880 28804,true
CVE-2010-1229,548046 551150 556021 558036 553080 597032 594035,31880 28804,true
CVE-2010-1230,196070 652035 652122 594002,33445 30801,true
CVE-2010-1231,661072 660396 661399,33572,true
CVE-2010-1232,652017,34978,true
CVE-2010-1233,650130 652015,35724,true
CVE-2010-1234,669085 794001,36772,true
CVE-2010-1235,660297 789002,37007,true
CVE-2010-1236,858001,37383,true
CVE-2010-1237,669236 669237 669239,37061,true
CVE-2010-1500,3037052 3183006 1551004 1585001,39443,true
CVE-2010-1502,1611004 1559015,40136,true
CVE-2010-1503,1543009 1568010,40137,true
CVE-2010-1504,1585012 1593007,40138,true
CVE-2010-1505,1519025 1523018 1549027 1631009,40575,true
CVE-2010-1506,3068012. 3191021 1551019,40635,true
CVE-2010-1663,1558030 1512027 1604018,40445,true
CVE-2010-1664,1696004,40487,true
CVE-2010-1665,1752014 1783003,42294,true
CVE-2010-1767,2096003 1594015,39698,true
CVE-2010-1770,3398008,43487,true
CVE-2010-1772,2128029,44868,true
CVE-2010-1773,2158002,44955,true
CVE-2010-1822,3436008,55114,true
CVE-2010-1823,3341023,50250,true
CVE-2010-1824,3364011,50712,true
CVE-2010-1825,3329017,51252,true
CVE-2010-1851,"","",true
CVE-2010-1992,"","",true
CVE-2010-2105,1275002,7713,true
CVE-2010-2106,1034001,16535,true
CVE-2010-2107,697002 1131003,30079,true
CVE-2010-2108,1524014,39740,true
CVE-2010-2109,1706021,41469,true
CVE-2010-2110,1693005 1727007,42228,true
CVE-2010-2120,"","",true
CVE-2010-2295,2177001 2155003,15766,true
CVE-2010-2296,2159006,39985,true
CVE-2010-2297,2171002,42723,true
CVE-2010-2298,2166003,43304,true
CVE-2010-2299,1973002 2125022,43307,true
CVE-2010-2300,2153003,43315,true
CVE-2010-2301,2074024,43902,true
CVE-2010-2302,2177005,44740,true
CVE-2010-2645,2862033,42396,true
CVE-2010-2646,2110008 2883003 2865023 2882003,42980 42575,true
CVE-2010-2647,2881003,43488,true
CVE-2010-2648,2843028,44424,true
CVE-2010-2649,2843029 2850034,45164,true
CVE-2010-2650,2848011 2843030,46575,true
CVE-2010-2651,2842032,46360,true
CVE-2010-2652,2803017 2827029,47056,true
CVE-2010-2897,2985009 2857028 2964012,48283,true
CVE-2010-2898,2980002 2962017,48733,true
CVE-2010-2899,2927014,42736,true
CVE-2010-2900,2944020,43813,true
CVE-2010-2901,2975015,47866,true
CVE-2010-2902,2917014,48284,true
CVE-2010-2903,2958002 2976010,48597,true
CVE-2010-3111,3023041 3007039 3027049 3156001 3118008 3160005,51070,true
CVE-2010-3112,2856082 3080022 2883068,45400,true
CVE-2010-3113,3007044,49596,true
CVE-2010-3114,3027024 3092017,49628,true
CVE-2010-3115,3017060 3106001,49964,true
CVE-2010-3116,3174006 3153011 3046050 3123003,51835 50515,true
CVE-2010-3117,3051029 2819092 3091018 3028052 3112001 3114001,50553,true
CVE-2010-3118,3044054 3120002 3142001 3143001 3144001,51146,true
CVE-2010-3119,3160007 3179009,51654,true
CVE-2010-3120,3134016 3152023,51670,true
CVE-2010-3246,3291012 3452017,34414,true
CVE-2010-3247,3011012 3015056,37201,true
CVE-2010-3248,1815005,41654,true
CVE-2010-3249,"",45659,true
CVE-2010-3250,2808051 3173018 3116011 3163014,45876,true
CVE-2010-3251,3145010 3170030 2803010 2845028 2852034 2967010 3054039 3076024 3017053 3071025,51846 46750,true
CVE-2010-3252,3095007 3159022 3136018 3198008,50386,true
CVE-2010-3253,3064042 3007035,50839,true
CVE-2010-3254,3141013,51739 51630,true
CVE-2010-3255,3189023,51653,true
CVE-2010-3256,3149003 3151006 3145007 3110007 3143005 3169008 3169019 3286006 3276006,51727,true
CVE-2010-3257,3136026,52443,true
CVE-2010-3258,3142022 3122031 3130037 3135041,52682,true
CVE-2010-3259,3124040,53001,true
CVE-2010-3259,"","",true
CVE-2010-3412,10703,51919,true
CVE-2010-3413,3204003 3300021,53176,true
CVE-2010-3413,"","",true
CVE-2010-3415,3338008 3340018 3294019,53394,true
CVE-2010-3415,"","",true
CVE-2010-3417,3357002,54006,true
CVE-2010-3729,3302024edit 3302024 3453003 3384007 3452004 3457006 3404009,55119,true
CVE-2010-3730,3409006,55350,true
CVE-2010-3730,"","",true
CVE-2010-4033,3149003 3151006 3145007 3110007 3143005 3169008 3169019 3286006 3276006 2842062 2881040 3063008 3251007 3215013 3279009 3258008 3287006,51727 48225,true
CVE-2010-4034,3017003 3029061 3140005 3173005 3139011 3492015 3543003 3521011,48857,true
CVE-2010-4035,3112022 3186022 3466006 3413026,50428,true
CVE-2010-4036,3257002 3346005 3537005 3585002 3655007,51680,true
CVE-2010-4037,5367008 5519009,53002,true
CVE-2010-4038,3317001,53985,true
CVE-2010-4039,3372010 3412004 3457004,54132,true
CVE-2010-4040,5678006,54500,true
CVE-2010-4041,3312021 3434010 3448010,54794,true
CVE-2010-4042,5790002,56451,true
CVE-2010-4197,6083013 6064007,51602,true
CVE-2010-4198,5996006,55257,true
CVE-2010-4199,6092005,58657,true
CVE-2010-4201,3638002,58741,true
CVE-2010-4202,3838007,59320,true
CVE-2010-4203,"",60055,true
CVE-2010-4204,5989011 5744002,60238,true
CVE-2010-4205,4120011 4168008 4116015 6035010 6093008 6093007 6078012 6035015,61255 60769 60327,true
CVE-2010-4206,5981012,60688,true
CVE-2010-4482,3136019 3174023 3186023,17655,true
CVE-2010-4483,3984002 4164001,55745,true
CVE-2010-4484,3387018,56237,true
CVE-2010-4485,3832005,58319,true
CVE-2010-4486,6121004 6134010 6130008,59554,true
CVE-2010-4486,"","",true
CVE-2010-4488,4575001 4526002 4604001 4606001,61701,true
CVE-2010-4489,4512003 5193001,61653,true
CVE-2010-4490,4590003 4619001 4635003,62127,true
CVE-2010-4491,6277007,62168,true
CVE-2010-4492,6292005,62401,true
CVE-2010-4493,6314012,63051,true
CVE-2010-4494,5196003 5216001 4643007 5220002 5167003 5174005 5216002 5238002,63444,true
CVE-2010-4574,3569025 4716006 5124001 5595001,56449,true
CVE-2010-4575,5326011,60761,true
CVE-2010-4576,5173005,63529,true
CVE-2010-4577,6349019,63866,true
CVE-2010-4578,"",64959,true
CVE-2010-5069,"","",true
CVE-2010-5073,"","",true
CVE-2010-0051,2840038 525051,9877,true
CVE-2010-0647,556017 554075,31692,true
CVE-2010-0648,553088 554076,32309,true
CVE-2010-0651,2840038 525051,9877,true
CVE-2010-0652,2840038 525051,9877,true
CVE-2010-0653,2840038 525051,9877,true
CVE-2010-0654,2840038 525051,9877,true
CVE-2010-0656,173598 384015 434113,20450,true
CVE-2010-0657,515028 524017,23693,true
CVE-2010-0658,464044 492028,24646 24071,true
CVE-2010-0659,2847059 521039,28566,true
CVE-2010-0661,500156,30660,true
CVE-2010-1205,"",45983,true
CVE-2010-3411,3168003 3244006,51709,true
CVE-2010-3414,3216004 3295020 2856082 3080022 2883068,53361 45400,true
CVE-2010-3416,3335013,53930,true
CVE-2010-4008,3712004 3839002 4027006 4054006 4032005 4021005 4002004,58731,true
CVE-2010-4258,"","",true
CVE-2010-4487,3899002 4011004 3968007 4065002,59817,true
CVE-2011-0470,5319011,58053,true
CVE-2011-0471,6250120 6384021 6250125 6312146,65764,true
CVE-2011-0472,"",66334,true
CVE-2011-0473,6525023 6469038,66560,true
CVE-2011-0474,6529028,66748,true
CVE-2011-0475,"",67100,true
CVE-2011-0476,"",67208,true
CVE-2011-0477,6034007 6046006 5970011 6161002 6194002 6198001 6104007 6206001 6156002,67303,true
CVE-2011-0478,6523032 6546021,67363,true
CVE-2011-0479,6066002 5960009,67393,true
CVE-2011-0480,6069005 6044008 6130002 6059011,68115,true
CVE-2011-0481,"",68170,true
CVE-2011-0482,6480073,68178,true
CVE-2011-0483,6526017,68181,true
CVE-2011-0484,6476031 6531004 6531021,68439,true
CVE-2011-0485,6128001 6139001 6146001 6148001 6149001 6155001 6157001 6107004,68666,true
CVE-2011-0485,"","",-1
CVE-2011-0777,5836002 5870003,55831,true
CVE-2011-0778,6242008,59081,true
CVE-2011-0779,4723007,62791,true
CVE-2011-0780,"",64051,true
CVE-2011-0781,"","",-1
CVE-2011-0781,"","",-1
CVE-2011-0783,6133001,68244,true
CVE-2011-0784,6157007,69195,true
CVE-2011-0981,6625058 6697002,67234,true
CVE-2011-0982,6656022,68120,true
CVE-2011-0983,"",69556,true
CVE-2011-0984,"",69970,true
CVE-2011-0985,6372008,70456,true
CVE-2011-1059,6286100,70315,true
CVE-2011-1107,6070006 6698031,54262,true
CVE-2011-1108,5548001,63732,true
CVE-2011-1109,"",68263,true
CVE-2011-1110,6695002,68741,true
CVE-2011-1111,6696008 6677037,70078,true
CVE-2011-1112,6343003,70244,true
CVE-2011-1113,6353010 6347013 6471008 6478007,70376,true
CVE-2011-1114,6686052,71114,true
CVE-2011-1115,6677004 6673025,71115,true
CVE-2011-1116,6625075 6696007,71296,true
CVE-2011-1117,6677022,71386,true
CVE-2011-1118,6685018,71388,true
CVE-2011-1119,6685036,71595,true
CVE-2011-1120,6410092,71717,true
CVE-2011-1121,6682035 6673031,71855,true
CVE-2011-1122,6456016,71960,true
CVE-2011-1123,6246161 5699005,72214,true
CVE-2011-1124,6476006 6483014 6480034,72437,true
CVE-2011-1125,6708058,73235,true
CVE-2011-1185,"",42765 42574,true
CVE-2011-1185,"","",-1
CVE-2011-1187,10425 13195,69187,true
CVE-2011-1188,6613017,69628,true
CVE-2011-1189,6773010,70027,true
CVE-2011-1190,6700001,70336,true
CVE-2011-1191,6576043 6588137 6287017 6621056 6681026,70442,true
CVE-2011-1191,"","",-1
CVE-2011-1193,"",70877,true
CVE-2011-1194,6588056 6693021 6685014,71167 70885,true
CVE-2011-1195,"",71763,true
CVE-2011-1196,6598004 6594028 6588033,71788,true
CVE-2011-1197,6246136 6721031,72028,true
CVE-2011-1198,6597005 6588036 6588033,73026,true
CVE-2011-1199,"",73066,true
CVE-2011-1200,"",73134,true
CVE-2011-1201,"",73196,true
CVE-2011-1202,6549014,73716,true
CVE-2011-1203,6725026,73746,true
CVE-2011-1204,"",74030,true
CVE-2011-1285,"",74662,true
CVE-2011-1286,"",74675,true
CVE-2011-1291,6625046,72517,true
CVE-2011-1292,"",73216,true
CVE-2011-1293,6802019,73595,true
CVE-2011-1294,"",74562,true
CVE-2011-1295,"",74991,true
CVE-2011-1296,"",75170,true
CVE-2011-1296,"","",-1
CVE-2011-1301,6677089 6721010 6814008,75629,true
CVE-2011-1302,"",78524,true
CVE-2011-1303,"",61502,true
CVE-2011-1304,6392042,70538,true
CVE-2011-1304,"","",-1
CVE-2011-1413,5682002 5718003 6017001 5935002 5964007,49747,true
CVE-2011-1434,6708072 6758053,71586,true
CVE-2011-1435,6474021 7004038 7038039 7056014 7004043 7057017 7057018 6961028 7038040,72523,true
CVE-2011-1435,"","",-1
CVE-2011-1437,6721013,73526,true
CVE-2011-1438,6602044,74653,true
CVE-2011-1438,"","",-1
CVE-2011-1440,"",75186,true
CVE-2011-1441,"",75347,true
CVE-2011-1442,"",75801,true
CVE-2011-1443,6665029,76001,true
CVE-2011-1443,"","",-1
CVE-2011-1445,6810018,76646,true
CVE-2011-1446,6801052 6826017 6826015 6865026 6724026 6777002,78031 77507 76666,true
CVE-2011-1447,"",76966,true
CVE-2011-1448,"",77130,true
CVE-2011-1449,6873125,77346,true
CVE-2011-1450,6747007 6770026,77349,true
CVE-2011-1451,"",77463,true
CVE-2011-1452,6793029 6802022,77786,true
CVE-2011-1454,"",79199,true
CVE-2011-1455,"",79361,true
CVE-2011-1456,"",79364,true
CVE-2011-1465,6680009 6673085,75657,true
CVE-2011-1691,6883077,77665,true
CVE-2011-1799,"",64046,true
CVE-2011-1800,"",80608,true
CVE-2011-1801,7011018 7012044,72189,true
CVE-2011-1804,7031067 6979029,82546,true
CVE-2011-1806,7050024 7040023 6961026,82873,true
CVE-2011-1807,7038017 7051006 7050015,82903,true
CVE-2011-1808,6721013 6932002 6873029 6930040,79746 73962,true
CVE-2011-1809,6625042diff5046chromebrowseraccessibilitybrowser_accessibility.cc 6683010,75496,true
CVE-2011-1810,"",75643,true
CVE-2011-1811,6673033 6670114,76034,true
CVE-2011-1812,6771062,77026,true
CVE-2011-1813,6814004,78516,true
CVE-2011-1814,"",79362,true
CVE-2011-1815,6879047 6879077 6990039,79862,true
CVE-2011-1816,7065043 7020007,80358,true
CVE-2011-1817,7046013 7050031 7064003,81916,true
CVE-2011-1818,"",81949,true
CVE-2011-1819,7043023 6966015,83010,true
CVE-2011-1819,"","",-1
CVE-2011-2332,"",83275,true
CVE-2011-2342,7084041 7031069,83743,true
CVE-2011-2345,6883059 7099006 7152001 7153001,77493,true
CVE-2011-2346,"",84355,true
CVE-2011-2347,"",85003,true
CVE-2011-2348,18177,85177,true
CVE-2011-2349,6990042 7082007 7045013,85418,true
CVE-2011-2350,"",85102,true
CVE-2011-2351,7108042 7003092,85211,true
CVE-2011-2358,6794010 6900059 6992047 7131001 7003100,75821,true
CVE-2011-2359,"",78841,true
CVE-2011-2360,"",79266,true
CVE-2011-2361,6905140,79426,true
CVE-2011-2599,"","",-1
CVE-2011-2761,7189019,86119,true
CVE-2011-2761,"","",-1
CVE-2011-2783,7077018 7109014 7046061 8417012,83273,true
CVE-2011-2784,115061,83841,true
CVE-2011-2785,7089014 7146017,84402,true
CVE-2011-2786,7187008 7346022,84600,true
CVE-2011-2787,7054063 7145020,84805,true
CVE-2011-2788,"",85559,true
CVE-2011-2789,7196001 7233018,85808,true
CVE-2011-2790,"",86502,true
CVE-2011-2791,7276039 7253044,86900,true
CVE-2011-2792,7169013 7166004,87148,true
CVE-2011-2793,"",87227,true
CVE-2011-2794,7187014 7198004 7215021,87298,true
CVE-2011-2795,7222001,87339,true
CVE-2011-2796,"",87548,true
CVE-2011-2797,"",87729,true
CVE-2011-2798,7276054 7275032,87815,true
CVE-2011-2799,"",87925,true
CVE-2011-2800,"",88337,true
CVE-2011-2801,"",88846,true
CVE-2011-2802,18478 18305,88591,true
CVE-2011-2803,"",88827,true
CVE-2011-2804,"",89142,true
CVE-2011-2805,"",89520,true
CVE-2011-2805,"","",-1
CVE-2011-2818,"",88889,true
CVE-2011-2819,"",90222,true
CVE-2011-2821,7508039,89402,true
CVE-2011-2821,"","",-1
CVE-2011-2823,"",82552,true
CVE-2011-2824,"",88216,true
CVE-2011-2825,7273080 7377003,88670,true
CVE-2011-2826,7298012,89453,true
CVE-2011-2827,"",90668,true
CVE-2011-2828,18831 19633,91517,true
CVE-2011-2829,7346023,91598,true
CVE-2011-2830,7148017 7097009 7096,76771,true
CVE-2011-2834,7747031 7793001,93472,true
CVE-2011-2835,2836055 2944008 6178005 7473009 7457025 7541011 8632004,49377,true
CVE-2011-2836,7080048,51464,true
CVE-2011-2836,"","",-1
CVE-2011-2838,7346042 7373009 7397001 7397009 12091039,75070,true
CVE-2011-2838,"","",-1
CVE-2011-2840,6793029diff4002contentbrowsertab_contentstab_contents.cc 6993037,83031 78427,true
CVE-2011-2841,6880002,78639,true
CVE-2011-2841,"","",-1
CVE-2011-2843,7137002,82438,true
CVE-2011-2844,7134022,85041,true
CVE-2011-2845,7327014,86758,true
CVE-2011-2846,7346031,89219,true
CVE-2011-2847,"",89330,true
CVE-2011-2848,7790018 7817011,89564,true
CVE-2011-2849,7488002 7488007,89795,true
CVE-2011-2850,7465036 7693034,90134,true
CVE-2011-2851,7794016 7830002,90173,true
CVE-2011-2852,"",91120,true
CVE-2011-2853,7454003 6693052 7171021 7239010,91197,true
CVE-2011-2854,"",92651,true
CVE-2011-2855,"",92959,true
CVE-2011-2856,19509,93416,true
CVE-2011-2857,"",93420,true
CVE-2011-2858,7845017 7857037 7841067 7866006 7863007 7796015 7796016 7862024 7862025,95625,true
CVE-2011-2859,7719003 7731005,93497,true
CVE-2011-2860,"",93587,true
CVE-2011-2861,"",93596,true
CVE-2011-2862,19527 19743 19749 19533,93906,true
CVE-2011-2864,7841023 7851010,95563,true
CVE-2011-2874,"",95917,true
CVE-2011-2875,20076,95920,true
CVE-2011-2876,7477017 7482041 7540023 7508023 7508026 7480016 7598037,93788,true
CVE-2011-2877,7800029 7465104 7606001,95072,true
CVE-2011-2878,7574017 7584026,95671,true
CVE-2011-2879,7549013 7566019 7210034 7599023,96150,true
CVE-2011-2880,7550048 7585035 7550043 7595004,97615 97520 97451,true
CVE-2011-2881,20115 21193 8052007 21198,97784,true
CVE-2011-3015,"",105803,true
CVE-2011-3016,"",106336,true
CVE-2011-3017,"",108695,true
CVE-2011-3018,"",110172,true
CVE-2011-3019,9315033,110849,true
CVE-2011-3020,9328024,111575,true
CVE-2011-3021,"",111779,true
CVE-2011-3022,9320015 9360003 9364001,112236,true
CVE-2011-3023,9264061 27228 7007,112259,true
CVE-2011-3024,9361007 9365041 9373014,112451,true
CVE-2011-3025,9340008,112670,true
CVE-2011-3026,9363013 9365007 9374001 9384012 9381014 9382011 9385012 9383016 9378023,112822,true
CVE-2011-3027,"",112847,true
CVE-2011-3031,"",105867,true
CVE-2011-3032,8387058,108037,true
CVE-2011-3033,6080 2983 7272 7260,115471 108406,true
CVE-2011-3034,8800031 7891021,111748,true
CVE-2011-3035,8502007 8505034 8496029 8511037,112212,true
CVE-2011-3036,"",113258,true
CVE-2011-3037,8432009,115028 114924 113439,true
CVE-2011-3038,"",113497,true
CVE-2011-3039,"",113707,true
CVE-2011-3040,8423060,114054,true
CVE-2011-3041,"",114068,true
CVE-2011-3042,"",114219,true
CVE-2011-3043,"",115681,true
CVE-2011-3044,8507033,116093,true
CVE-2011-3045,9546033 9689019 9768001,116162,true
CVE-2011-3046,9632002 9633011diff1contentpubliccommonurl_constants.cc 9691011,117230 117226,true
CVE-2011-3047,9669023 9693011 9696004 9664025 9696012 9677033,117656 117620,true
CVE-2011-3049,8952021 9152010 9120011,108648,true
CVE-2011-3050,"",113902,true
CVE-2011-3051,9372111,116461,true
CVE-2011-3052,9617038 9753015,116637,true
CVE-2011-3053,"",116746,true
